SimulationSetId,yearid,eventid,date,p_value,anlsid,name,description,rate,meanloss,stddev,expvalue,loss
1,87814,1000000,2025-10-09,0.41402758213236224,1,EU FL HD,EU_FL_synthetic,0.0004353901719113095,4334693.274868153,2081.9926212328787,328052800.50842285,5065932.969570709
1,6207,1000001,2025-09-23,0.5705091529455913,1,EU FL HD,EU_FL_synthetic,0.006861848068845079,2831192.2552056583,1682.6147078893785,356798299.9829589,2869917.40484818
1,39753,1000002,2026-12-01,0.0006423036998737253,1,EU FL HD,EU_FL_synthetic,0.00950991307104679,7032545.872481929,2651.8947702504956,470529429.6765551,6791960.0353110405
1,45827,1000003,2026-12-13,0.6448731146778622,1,EU FL HD,EU_FL_synthetic,0.008308589854422928,4171260.852520056,2042.3664834010708,600275018.6386895,4221416.873594349
1,79788,1000004,2025-09-22,0.7181757921279367,1,EU FL HD,EU_FL_synthetic,0.002844261588084344,1891796.1047541145,1375.4257903478888,342859403.29747146,2127541.3521832246
1,12904,1000005,2025-05-26,0.5671093654887923,1,EU FL HD,EU_FL_synthetic,0.0006279183408400725,19751152.464772098,4444.226869183446,2061582479.1182468,20377932.31984677
1,43406,1000006,2025-08-07,0.49655881704361604,1,EU FL HD,EU_FL_synthetic,0.009409478984127988,4764578.668321604,2182.7914853053658,358648455.8415846,4894293.556957737
1,15233,1000007,2025-06-18,0.8099364737117083,1,EU FL HD,EU_FL_synthetic,0.009376920976309044,4752061.189874999,2179.922289870673,522744548.1108028,5243278.948837936
1,78764,1000008,2025-08-06,0.6813727171652418,1,EU FL HD,EU_FL_synthetic,0.005370911665157407,2346468.7303207996,1531.818765494404,393960421.9565691,2178926.4267921215
1,63229,1000009,2025-10-04,0.278074039720023,1,EU FL HD,EU_FL_synthetic,0.006458942375548198,2751552.8018339504,1658.7805164740603,381704075.12129116,2907326.7773451745
1,49674,1000010,2025-05-10,0.9590733380799858,1,EU FL HD,EU_FL_synthetic,0.004679740601037002,2743014.7712154808,1656.2049303197598,178766337.7856461,2671690.813204248
1,39293,1000011,2025-07-24,0.7072671941953408,1,EU FL HD,EU_FL_synthetic,0.004255677134277712,10294977.796307331,3208.578781377719,1344298363.7541158,10246623.424104081
1,15318,1000012,2025-01-19,0.9879389289124246,1,EU FL HD,EU_FL_synthetic,0.0012825395156941337,4244779.11656358,2060.2861734631865,510276813.6238889,3813036.183642053
